ProductID,BrandName,Category,sub_category,Segment,Price ,Size_Options,Ratings,Reviews,Description
10138639,Roadster,Bottom Wear,jeans,Men,4.38,3,3.6,437,roadster men navy blue skinny fit mid rise clean look stretchable jeans
10146723,Roadster,Inner Wear &  Sleep Wear,socks,Men,8.45,5,4.3,437,roadster men pack of 3 above ankle length socks
10146515,Dollar Bigboss,Inner Wear &  Sleep Wear,innerwear-vests,Men,7.99,5,4.2,437,dollar bigboss pack of 3 innerwear vests
10140415,Jockey,Inner Wear &  Sleep Wear,briefs,Men,4.09,5,4.4,437,jockey men charcoal grey solid basic briefs us17 0105
10137189,WROGN,Topwear,jackets,Men,19.14,5,4.1,437,wrogn men navy blue solid bomber
10147107,WROGN,Topwear,tshirts,Men,3.13,5,4,437,wrogn men black printed round neck t shirt
10151469,mf,Indian Wear,dupatta,Women,6.26,5,4.2,437,mf white embroidered dupatta
10148413,Sangria,Indian Wear,kurta-sets,Women,6.26,5,3.9,437,sangria women orange  navy blue solid kurta with trousers
10139539,YASH GALLERY,Indian Wear,kurtas,Women,29.6,5,4.1,437,yash gallery women mustard printed anarkali kurta
10151459,Bhama Couture,Indian Wear,kurta-sets,Women,7.83,6,4,437,bhama couture women maroon printed kurta with palazzos
10143931,HRX by Hrithik Roshan,Sports Wear,tshirts,Women,3.27,5,4.4,437,hrx by hrithik roshan women nvay blue printed round neck t shirt
10147999,U&F,Western,skirts,Women,4.73,5,3.6,437,uf multicoloured striped accordion pleat flared skirt
10140025,MABISH by Sonal Jain,Western,dresses,Women,4.17,5,3.9,437,mabish by sonal jain rose  black v neck fit  flare dress
10138933,Roadster,Western,dungarees,Women,2.81,3,3.8,437,roadster women black solid dungarees
10137151,Roadster,Western,tshirts,Women,24.37,5,4.2,437,roadster women olive green solid asymmetric neck detailing pure cotton t shirt
10136429,Roadster,Western,tshirts,Women,4.69,4,4.3,437,roadster women navy blue  mustard yellow geometric print round neck t shirt
1014684,WROGN,Bottom Wear,trousers,Men,9.05,6,4.3,436,wrogn men black denim joggers
10150641,Campus Sutra,Bottom Wear,jeans,Men,12.25,5,3.7,436,campus sutra men blue slim fit mid rise mildly distressed jeans
10147191,Roadster,Bottom Wear,jeans,Men,3.13,5,4,436,roadster men blue slim tapered fit mid rise clean look jeans
10137045,Dollar Bigboss,Inner Wear &  Sleep Wear,briefs,Men,15.84,5,4,436,dollar bigboss men multicoloured pack of 5 briefs mdbr 02 po5 1
10148199,HRX by Hrithik Roshan,Sports Wear,tshirts,Men,5.01,5,4.4,436,hrx by hrithik roshan men lime green printed regular fit running t shirt
10145885,Bushirt,Sports Wear,tshirts,Men,6.26,5,4.3,436,bushirt men black solid round neck pure cotton t shirt
10136105,Roadster,Topwear,tshirts,Men,3.13,4,4.2,436,roadster men teal solid polo collar pure cotton t shirt with printed detail
10148345,INVICTUS,Topwear,shirts,Men,12.81,6,4.2,436,invictus men blue slim fit formal shirt
10144865,Roadster,Topwear,shirts,Men,4.17,5,4.4,436,roadster men sea green regular fit solid sustainable casual shirt
10137319,HERE&NOW,Indian Wear,kurtas,Women,20.36,5,4.3,436,herenow women peach coloured solid pintuck pleated straight kurta
10138745,HERE&NOW,Indian Wear,kurtas,Women,3.29,4,4.1,436,herenow women off white  green printed straight kurta
10138453,KALINI,Indian Wear,sarees,Women,4.69,5,3.9,436,kalini navy blue  pink bandhani saree
10138055,Maaesa,Indian Wear,dresses,Women,3.9,5,4.2,436,maaesa grey  orange ethnic motifs printed tiered a line dress
10148921,Sangria,Indian Wear,kurta-sets,Women,6.89,5,4.2,436,sangria women taupe  orange pure cotton solid kurta with palazzos
10137167,Sangria,Indian Wear,kurtas,Women,14.62,5,4.2,436,sangria women white  grey printed a line kurta
10136129,Mitera,Indian Wear,sarees,Women,4.69,4,4.1,436,mitera peach coloured  gold coloured art silk woven design banarasi saree
10136037,Zivame,Lingerie & Sleep Wear,bra,Women,3.75,3,3.9,436,zivame maroon solid underwired non padded everyday bra zi0101m0xlpurpl
1013659,Floret,Lingerie & Sleep Wear,bra,Women,5.88,5,3.8,436,floret women pack of 2 solid t shirt bras
10147925,HRX by Hrithik Roshan,Sports Wear,sweatshirts,Women,5.84,5,4.3,436,hrx by hrithik roshan women training rapid dry round neck self design sweatshirt
10144367,DressBerry,Western,tshirts,Women,4.87,5,4.3,436,dressberry women pack of 2 t shirts
10145065,Berrylush,Western,dresses,Women,5.22,8,4.4,436,berrylush women black printed fit and flare dress
10137103,20Dresses,Western,dresses,Women,24.89,7,4.5,436,20dresses black strapless thigh high slit maxi dress
10136121,Tokyo Talkies,Western,jumpsuit,Women,5.01,3,4.1,436,tokyo talkies women blue solid basic jumpsuit
10146517,Mast & Harbour,Western,tshirts,Women,4.67,5,4.3,436,mast  harbour women pack of 2 cotton t shirts
10137541,Levis,Bottom Wear,jeans,Men,11.97,5,4.3,435,levis men blue mid rise slim fit jeans
10148433,HERE&NOW,Bottom Wear,track-pants,Men,12.81,5,3.7,435,herenow men chic grey striped updated joggers
10145353,Roadster,Bottom Wear,jeans,Men,9.05,3,3.9,435,roadster men blue slim tapered fit light fade stretchable jeans
